SKU,Name,Units,UOM,Price,Mfg,Notes
ELB-1482,Long Radius Elbow 90deg 1in,50,EA,58.69,Smith-Cooper,
WSH-1365,Tab Washer M20,1095,Pc,1.81,Grainger,
ORG-2025,Lip Seal 30mm ID,354,Pc,4.27,Trelleborg,check inventory first
WLD-2127,FLUX CORE WIRE E71T-1 4.0MM X 5KG,81,PCS,119.87,Lincoln Electric,urgent
WLD-2122,TIG Rod ER308L 0.8mm x 15kg,21,ea.,116.23,ESAB,check inventory first
GSK-1671,kammprofile gasket 6in 150#,32,ea.,12.75,Garlock,standard
PMP-1870,Centrifugal Pump 1in 5HP,4,pcs,8103.58,Sulzer,
ELC-2085,Junction Box 10A,24,pc,284.62,Allen-Bradley,new requirement
WSH-1365,Tab Washer M20,1843,EA,0.69,Grainger,need by Friday
FLT-1797,Fuel Filter 10 Micron,58,ea.,40.73,Parker,need by Friday
NUT-1299,  T-Nut 1in ,7293,pc,1.59,Brighton-Best,urgent
BLT-1136,flange bolt m20x100,3318,Pc,7.57,Hilti,see attached spec
LUB-1966,Gear Oil 5L,23,pc,350.08,Mobil,urgent
FLT-1802,Water Filter Cartridge 5 Micron,36,ea,154.64,Donaldson,check inventory first
WLD-2109,WELDING ROD E7018 4.0MM X 5KG,25,Pc,53.09,Hobart,see attached spec
VLV-1562,Gate Valve 1in,34,EA,195.25,Velan,new requirement
FLT-1793,  Hydraulic Filter Element 50 Micron ,10,EA,152.18,Mahle,see attached spec
BLT-1101,Hex Bolt M8x30,4634,ea,0.72,Nord-Lock,approved by mgr
FLG-1533,Socket Weld Flange 2in 300#,55,pcs,205.80,Texas Flange,
FLG-1533,Socket Weld Flange 2in 300#,55,pcs,205.80,Texas Flange,
ELC-2046,Contactor 16A,9,ea,363.44,Allen-Bradley,need by Friday
SLV-1944,Shaft Seal 80mm,2,ea,261.06,Timken,check inventory first
SLV-1944,Shaft Seal 80mm,2,ea,261.06,Timken,check inventory first
BLT-1190,Lag Bolt M6x20,4045,ea,2.17,McMaster-Carr,replacement
VLV-1626,Solenoid Valve 1in,38,Pc,663.17,Emerson,
PIP-1450,Copper Tube Type L 1in x 6m,172,EA,28.94,ArcelorMittal,
PMP-1875,Centrifugal Pump 4in 25HP,2,ea,7315.01,Grundfos,
WSH-1334,Belleville Washer M16,3737,PCS,0.56,McMaster-Carr,approved by mgr
PMP-1904,Booster Pump 3in 20HP,1,ea,6638.28,Ebara,backorder ok
NUT-1232,coupling nut m10,839,pcs.,2.03,Brighton-Best,approved by mgr
VLV-1572,GLOBE VALVE 2IN,36,EA,277.69,Cameron,replacement
NUT-1235,Coupling Nut M20,6710,PCS,0.41,Wurth,need by Friday
FLT-1781,Oil Filter Element 50 Micron,36,PCS,72.60,Mahle,replacement
BLT-1112,Socket Head Cap Screw M10x40,3473,ea.,6.38,Grainger,quarterly order
WLD-2122,TIG Rod ER308L 0.8mm x 15kg,78,pcs.,93.04,ESAB,need by Friday
ELC-2079,Cable Gland 25A,32,ea.,6.50,Schneider Electric,standard
LUB-1958,Bearing Grease 200L,47,pc,406.71,Total,
BLT-1128,Carriage Bolt 5/8x3in,3926,ea.,6.66,McMaster-Carr,
VLV-1560,  Gate Valve 1/2in ,3,pcs.,849.44,Velan,
BLT-1183,Structural Bolt M10x50,329,pc,5.72,Fastenal,
FLT-1802,Water Filter Cartridge 5 Micron,29,Pc,140.80,Donaldson,see attached spec
PMP-1872,CENTRIFUGAL PUMP 2IN 10HP,2,ea,3620.10,Grundfos,check inventory first
PRS-1727,RTD Sensor PT100 0-300C,27,pc,171.11,Honeywell,
MTR-1850,Stepper Motor 0.5HP,5,ea,1768.08,Regal Beloit,see attached spec
PIP-1443,CPVC Pipe 1.5in x 6m,96,pcs,323.93,Tenaris,quarterly order
PIP-1407,Steel Pipe SCH40 6in x 6m,27,ea.,342.75,POSCO,urgent
VLV-1572,Globe Valve 2in,20,ea,408.63,Cameron,
VLV-1579,Check Valve Swing 1.5in,37,pc,519.22,Emerson,standard
WSH-1350,Wave Washer M6,3093,EA,1.19,Grainger,replacement
NUT-1209,Hex Nut 1in,298,PCS,0.26,McMaster-Carr,see attached spec
ORG-1992,O-Ring Buna-N 25mm ID,341,pc,3.23,Parker,
ORG-2020,OIL SEAL 75MM ID,272,ea.,7.76,SKF,
GSK-1645,Ring Joint Gasket 2in 300#,182,ea,41.53,Klinger,quarterly order
LUB-1981,Anti-Seize Compound 5L,30,pcs.,278.87,Castrol,backorder ok
GSK-1677,Metal Jacketed Gasket 4in 150#,43,PCS,54.67,Lamons,
BLT-1190,  Lag Bolt M6x20 ,157,ea.,6.37,McMaster-Carr,
FLG-1504,  Weld Neck Flange 1in 150# ,42,pcs.,40.22,Boltex,new requirement
VLV-1561,GATE VALVE 3/4IN,18,pcs.,729.96,Flowserve,replacement
BRG-1071,Self-Aligning Bearing 6208,124,ea,75.39,FAG,urgent
VLV-1584,Butterfly Valve 1/2in,36,Pc,320.43,Cameron,quarterly order
HSE-1762,Hydraulic Filter 1/4in x 1m,18,pcs.,346.75,Danfoss,urgent
SLV-1907,  Shaft Sleeve 30mm ,18,pc,202.02,Dodge,
VLV-1566,Gate Valve 4in,18,EA,614.48,Cameron,see attached spec
VLV-1566,Gate Valve 4in,18,EA,614.48,Cameron,see attached spec
WSH-1301,Flat Washer M8,6368,EA,1.10,Fastenal,quarterly order
LUB-1976,Chain Lubricant 5L,3,pcs.,103.56,Total,check inventory first
GSK-1656,Rubber Gasket 4in 150#,185,EA,61.71,Klinger,backorder ok
LUB-1988,Penetrating Oil 200L,31,pcs,257.54,Castrol,need by Friday
ELB-1484,LONG RADIUS ELBOW 90DEG 2IN,114,ea.,45.85,Anvil International,
NUT-1220,FLANGE NUT M6,5288,pcs,2.01,Grainger,backorder ok
MTR-1861,  Explosion Proof Motor 1HP ,10,ea,1637.65,Siemens,urgent
MTR-1854,Stepper Motor 5HP,3,ea,232.09,WEG,standard
ELC-2099,Push Button Switch 100A,44,pcs.,199.98,Eaton,approved by mgr
MTR-1824,Electric Motor 3Phase 5HP,8,PCS,967.28,ABB,check inventory first
LUB-1961,Hydraulic Oil 5L,42,Pc,360.41,Shell,new requirement
ELB-1474,Elbow 45deg 1in,60,PCS,60.80,Georg Fischer,urgent
BRG-1057,needle roller bearing nu210,477,ea,70.00,NSK,see attached spec
LUB-1978,Chain Lubricant 200L,2,pc,312.51,Kluber,
PIP-1403,Steel Pipe SCH40 1.5in x 6m,22,pc,330.42,Nippon Steel,urgent
WSH-1305,Flat Washer M20,9884,ea,0.86,Nord-Lock,
ELC-2084,Cable Gland 160A,30,Pc,250.55,Eaton,approved by mgr
PIP-1414,SS PIPE SCH10 4IN X 6M,178,pcs.,162.12,Nippon Steel,
FLG-1536,Threaded Flange 1in 150#,42,Pc,128.12,Texas Flange,backorder ok
FLG-1536,Threaded Flange 1in 150#,42,Pc,128.12,Texas Flange,backorder ok
GSK-1645,Ring Joint Gasket 2in 300#,69,pc,13.42,Klinger,see attached spec
VLV-1609,diaphragm valve 3/4in,11,ea,725.90,Flowserve,backorder ok
MTR-1828,Electric Motor 3Phase 20HP,5,ea.,3186.30,Siemens,check inventory first
MTR-1859,stepper motor 25hp,3,ea.,2517.77,WEG,urgent
MTR-1859,stepper motor 25hp,3,ea.,2517.77,WEG,urgent
BRG-1085,Cylindrical Roller Bearing 7208,415,pcs.,105.65,NTN,check inventory first
ELB-1465,Elbow 90deg 3/4in,184,ea.,25.09,Anvil International,
BRG-1015,Tapered Roller Bearing 7208,465,pcs.,45.67,Koyo,
BRG-1015,Tapered Roller Bearing 7208,465,pcs.,45.67,Koyo,
NUT-1215,Lock Nut Nylon Insert M20,9107,pcs.,0.52,Grainger,
NUT-1249,Wing Nut 1in,4852,pcs,0.84,Wurth,urgent
VLV-1570,Globe Valve 1in,2,pc,770.72,Neles,see attached spec
ELB-1502,Reducing Elbow 4in,115,EA,80.27,Bonney Forge,quarterly order
BLT-1155,U-Bolt M16x80,998,pcs.,3.84,Fastenal,replacement
BLT-1131,Flange Bolt M8x30,2373,pcs,3.21,Nord-Lock,replacement
ELB-1486,Long Radius Elbow 90deg 4in,15,pcs,33.80,Bonney Forge,quarterly order
VLV-1592,Needle Valve 1/2in,22,Pc,619.54,Neles,quarterly order
WSH-1368,Tab Washer 3/4in,5018,PCS,1.63,Grainger,check inventory first
WSH-1387,Fiber Washer 5/8in,9016,PCS,1.42,Fastenal,backorder ok
PIP-1423,Carbon Steel Pipe SCH80 6in x 6m,27,Pc,148.55,Tata Steel,
WSH-1382,Fiber Washer M10,8394,Pc,1.23,Grainger,
BRG-1087,  Cylindrical Roller Bearing NU210 ,415,Pc,74.57,SKF,
PRS-1687,Pressure Gauge 4in line,21,PCS,130.21,Emerson Rosemount,
ORG-2023,lip seal 20mm id,333,ea,44.42,Freudenberg,
ORG-2023,lip seal 20mm id,333,ea,44.42,Freudenberg,
PIP-1409,SS Pipe SCH10 3/4in x 6m,105,EA,254.07,Tenaris,
SLV-1919,Shaft Coupling 75mm,28,pcs,140.41,Dodge,need by Friday
ELB-1503,Reducing Elbow 6in,34,ea.,31.97,Anvil International,quarterly order
ORG-2025,Lip Seal 30mm ID,469,Pc,27.45,Trelleborg,approved by mgr
NUT-1287,Acorn Nut 5/8in,581,Pc,1.32,Brighton-Best,
LUB-1971,Compressor Oil 5L,8,EA,321.83,Castrol,
FLG-1511,WELD NECK FLANGE 6IN 300#,11,pc,111.13,Coastal Flange,
GSK-1655,  Rubber Gasket 3in 150# ,48,pcs.,14.64,Lamons,
BRG-1020,Angular Contact Bearing 6205,380,Pc,65.26,NTN,
MTR-1865,Explosion Proof Motor 7.5HP,4,Pc,3346.63,Baldor,
ELC-2082,Cable Gland 63A,19,pcs,248.21,Allen-Bradley,check inventory first
PIP-1402,Steel Pipe SCH40 1in x 6m,57,ea.,206.84,POSCO,new requirement
HSE-1759,Hydraulic Pump 1/4in,29,Pc,89.37,Eaton,
PRS-1709,Pressure Transmitter 0-100psi,14,ea,439.87,Yokogawa,quarterly order
BRG-1069,Pillow Block Bearing UC205,349,ea.,89.36,Timken,
PRS-1692,Temperature Gauge 0-300C,22,pc,297.79,Honeywell,
PRS-1689,  Temperature Gauge 0-200psi ,13,PCS,325.15,WIKA,
PRS-1689,Temperature Gauge 0-200psi,27,PCS,314.36,WIKA,backorder ok
HSE-1734,Hydraulic Hose 1in x 5m,13,ea,101.09,Bosch Rexroth,
BRG-1033,Spherical Roller Bearing 30206,286,ea.,81.80,Koyo,backorder ok
MTR-1849,Servo Motor 25HP,7,ea.,1171.64,ABB,approved by mgr
PMP-1892,Peristaltic Pump 3in 20HP,2,Pc,5040.83,KSB,need by Friday
WSH-1384,  Fiber Washer M16 ,3360,pcs,1.08,McMaster-Carr,quarterly order
BLT-1158,U-Bolt 5/8x3in,1417,pc,1.57,Fastenal,
NUT-1286,Acorn Nut 1/2in,6129,pcs,1.88,Grainger,approved by mgr
NUT-1217,Lock Nut Nylon Insert 5/8in,7957,pc,1.95,McMaster-Carr,replacement
NUT-1217,Lock Nut Nylon Insert 5/8in,7957,pc,1.95,McMaster-Carr,replacement
VLV-1603,Plug Valve 1.5in,45,pcs,464.67,Swagelok,check inventory first
VLV-1603,Plug Valve 1.5in,45,pcs,464.67,Swagelok,check inventory first
BRG-1024,Angular Contact Bearing 30208,202,pcs.,28.22,Koyo,
GSK-1652,ptfe envelope gasket 2in 300#,138,ea.,29.02,Teadit,replacement
LUB-1965,Gear Oil 1kg,39,EA,10.59,Kluber,need by Friday
HSE-1776,Quick Disconnect Coupling 3/8in,19,PCS,635.92,Eaton,need by Friday
SLV-1947,mechanical seal 30mm,16,pcs,225.51,John Crane,
BLT-1147,Eye Bolt 1/2x2in,2483,PCS,2.51,McMaster-Carr,quarterly order
ELC-2069,Terminal Block 10A,17,ea.,178.32,Schneider Electric,urgent
WLD-2113,mig wire er70s-6 2.5mm x 5kg,7,pc,104.89,Hobart,need by Friday
WLD-2113,  MIG Wire ER70S-6 2.5mm x 5kg ,20,pc,28.98,Hobart,urgent
PRS-1712,Pressure Transmitter 0-150C,9,ea,406.47,Endress+Hauser,backorder ok
ELC-2099,Push Button Switch 100A,13,ea,184.01,Eaton,quarterly order
WLD-2113,MIG Wire ER70S-6 2.5mm x 5kg,76,Pc,78.10,Hobart,
LUB-1983,Anti-Seize Compound 200L,43,EA,23.47,Mobil,standard
ELC-2075,Terminal Block 100A,4,EA,160.22,Allen-Bradley,backorder ok
VLV-1568,Globe Valve 1/2in,13,pcs,398.34,Cameron,quarterly order
FLG-1528,Socket Weld Flange 1in 150#,55,pc,204.40,Coastal Flange,approved by mgr
WSH-1395,Copper Washer M20,7775,PCS,1.17,Nord-Lock,backorder ok
LUB-1956,Bearing Grease 5L,16,ea.,281.77,Kluber,approved by mgr
MTR-1854,STEPPER MOTOR 5HP,3,pcs.,554.08,WEG,need by Friday
BLT-1141,Eye Bolt M8x30,371,ea,4.68,Fastenal,backorder ok
WSH-1380,Fiber Washer M6,5190,pcs,1.22,Fastenal,
BLT-1137,Flange Bolt 1/2x2in,2028,pcs,0.31,Wurth,
WSH-1308,Flat Washer 3/4in,186,pcs,1.16,Grainger,see attached spec
VLV-1567,Gate Valve 6in,38,PCS,78.31,Emerson,need by Friday
PIP-1427,Galvanized Pipe 1.5in x 6m,185,PCS,48.20,Tata Steel,standard
WSH-1313,Lock Washer M12,4791,Pc,1.98,Grainger,
PRS-1684,Pressure Gauge 0-150C,13,ea.,449.79,WIKA,standard
BRG-1051,Needle Roller Bearing 6208,23,pcs.,16.23,Koyo,
PMP-1890,Peristaltic Pump 2in 10HP,2,pcs.,4521.35,Sulzer,check inventory first
ELB-1503,reducing elbow 6in,169,ea,39.12,Anvil International,check inventory first
FLG-1508,Weld Neck Flange 6in 150#,63,PCS,25.79,Coastal Flange,check inventory first
MTR-1855,Stepper Motor 7.5HP,10,pcs,232.54,Siemens,need by Friday
ORG-1991,O-Ring Buna-N 20mm ID,38,ea.,28.33,Freudenberg,
BRG-1032,Spherical Roller Bearing 6310,481,ea.,111.31,NSK,new requirement
MTR-1845,Servo Motor 7.5HP,4,ea,2523.35,Regal Beloit,need by Friday
BRG-1037,Spherical Roller Bearing NU210,25,pc,45.55,SKF,backorder ok
NUT-1262,Cage Nut M10,5147,Pc,2.33,Wurth,standard
BLT-1166,Stud Bolt M20x100,1708,pc,5.86,McMaster-Carr,quarterly order
BRG-1022,Angular Contact Bearing 6310,167,PCS,85.67,NSK,
VLV-1554,Ball Valve Full Port 1in,14,PCS,327.71,Flowserve,quarterly order
PRS-1688,Temperature Gauge 0-100psi,5,pcs,374.10,Emerson Rosemount,check inventory first
SLV-1937,  Shaft Key 100mm ,24,Pc,272.75,Rexnord,see attached spec
ORG-2014,Oil Seal 15mm ID,38,PCS,4.29,Freudenberg,
BRG-1089,Cylindrical Roller Bearing UC205,413,pcs.,67.99,NTN,backorder ok
BLT-1148,Eye Bolt 5/8x3in,1604,pcs,3.74,Fastenal,
LUB-1965,Gear Oil 1kg,49,EA,366.02,Kluber,quarterly order
BLT-1124,Carriage Bolt M12x60,1417,Pc,1.36,Nord-Lock,
BLT-1124,Carriage Bolt M12x60,1417,Pc,1.36,Nord-Lock,
PRS-1682,Pressure Gauge 0-200psi,22,pcs.,183.70,WIKA,urgent
FLT-1783,Oil Filter Element 1 Micron,50,pcs.,115.77,Hydac,
WLD-2115,mig wire er70s-6 4.0mm x 5kg,11,pcs.,20.32,Bohler,
WSH-1312,Lock Washer M10,9853,pc,1.55,Fastenal,urgent
FLG-1537,Threaded Flange 2in 150#,77,ea.,72.14,Boltex,backorder ok
WLD-2105,Welding Rod E6010 1.0mm x 15kg,92,pc,50.82,Hobart,approved by mgr
WSH-1318,Lock Washer 3/4in,9570,pcs,1.93,Nord-Lock,
WSH-1383,Fiber Washer M12,3368,EA,0.50,Fastenal,check inventory first
VLV-1592,Needle Valve 1/2in,36,ea.,47.15,Neles,
FLG-1550,LAP JOINT FLANGE 4IN 300#,19,PCS,23.31,Boltex,
BLT-1115,Socket Head Cap Screw M16x80,3437,EA,3.79,Grainger,quarterly order
PIP-1442,cpvc pipe 1in x 6m,188,EA,45.32,POSCO,check inventory first
LUB-1978,chain lubricant 200l,21,PCS,258.66,Kluber,
BLT-1138,Flange Bolt 5/8x3in,4662,Pc,3.30,Fastenal,
WLD-2128,Flux Core Wire E71T-1 0.8mm x 15kg,30,PCS,35.92,Miller,urgent
MTR-1824,Electric Motor 3Phase 5HP,3,pc,3229.13,ABB,
ELB-1501,Reducing Elbow 3in,188,ea,41.50,Anvil International,approved by mgr
BLT-1131,Flange Bolt M8x30,3870,pcs.,7.08,Nord-Lock,new requirement
HSE-1734,  Hydraulic Hose 1in x 5m ,15,pc,389.53,Bosch Rexroth,standard
ELB-1492,Street Elbow 90deg 2in,110,pcs.,36.13,Smith-Cooper,new requirement
GSK-1662,  Graphite Gasket 3in 150# ,137,PCS,32.06,Teadit,new requirement
ELC-2075,terminal block 100a,46,Pc,358.79,Allen-Bradley,
PIP-1419,  Carbon Steel Pipe SCH80 1.5in x 6m ,64,EA,304.90,ArcelorMittal,need by Friday
MTR-1854,Stepper Motor 5HP,8,pc,3085.90,WEG,see attached spec
BLT-1161,Stud Bolt M8x30,4887,pcs.,5.75,Grainger,
BRG-1090,Flanged Bearing Unit 6205,500,ea.,45.47,NTN,need by Friday
NUT-1248,Wing Nut 3/4in,6652,EA,2.72,Brighton-Best,new requirement
SLV-1907,Shaft Sleeve 30mm,28,ea.,51.39,Dodge,check inventory first
FLG-1506,WELD NECK FLANGE 3IN 150#,51,Pc,86.37,Bonney Forge,urgent
VLV-1580,Check Valve Swing 2in,39,Pc,813.42,Neles,see attached spec
WLD-2112,welding rod e7018 1.2mm x 15kg,94,pcs.,54.39,ESAB,
FLG-1520,Blind Flange 1in 150#,16,pcs,253.32,Boltex,urgent
VLV-1575,Globe Valve 6in,6,EA,512.41,Swagelok,
NUT-1220,Flange Nut M6,5295,pcs,2.12,Grainger,approved by mgr
BLT-1135,Flange Bolt M16x80,1425,EA,7.51,Hilti,standard
LUB-1985,PENETRATING OIL 1KG,31,PCS,293.18,Mobil,urgent
ORG-2027,  Lip Seal 50mm ID ,351,pc,21.71,James Walker,replacement
FLG-1535,Socket Weld Flange 6in 300#,25,pc,180.43,Texas Flange,
LUB-1972,Compressor Oil 20L,30,EA,385.14,Total,standard
FLT-1791,Hydraulic Filter Element 10 Micron,50,EA,90.89,Parker,quarterly order
BRG-1062,Pillow Block Bearing 6310,444,PCS,49.31,Timken,replacement
LUB-1965,Gear Oil 1kg,49,ea,125.34,Kluber,
PMP-1894,Screw Pump 1in 5HP,2,Pc,1814.25,Flowserve,
ELB-1491,Street Elbow 90deg 1.5in,197,pcs,6.96,Smith-Cooper,new requirement
ORG-2020,Oil Seal 75mm ID,387,ea.,41.28,SKF,
WSH-1368,Tab Washer 3/4in,8915,PCS,1.87,Grainger,
ELC-2037,Circuit Breaker 10A,42,pcs,356.39,Schneider Electric,urgent
ELC-2037,Circuit Breaker 10A,42,pcs,356.39,Schneider Electric,urgent
PMP-1873,Centrifugal Pump 2in 15HP,2,pcs.,4129.31,Flowserve,
WSH-1378,Sealing Washer 3/4in,1910,pcs,1.27,Nord-Lock,quarterly order
BLT-1187,Structural Bolt 1/2x2in,4832,PCS,7.53,Wurth,see attached spec
LUB-1971,Compressor Oil 5L,17,EA,150.94,Castrol,quarterly order
SLV-1914,Shaft Coupling 25mm,17,PCS,222.62,Martin Sprocket,need by Friday
NUT-1246,wing nut 1/2in,3803,pcs.,1.52,Brighton-Best,approved by mgr
GSK-1679,Metal Jacketed Gasket 8in 150#,59,pcs,33.75,Flexitallic,
BLT-1128,Carriage Bolt 5/8x3in,2998,pc,4.41,McMaster-Carr,need by Friday
WSH-1305,Flat Washer M20,7784,pcs,1.65,Nord-Lock,new requirement
BLT-1190,lag bolt m6x20,542,ea.,6.88,McMaster-Carr,urgent
MTR-1868,Explosion Proof Motor 20HP,9,ea,149.45,Regal Beloit,new requirement
NUT-1242,Wing Nut M10,7474,pcs.,2.81,Wurth,quarterly order
NUT-1216,lock nut nylon insert 1/2in,9980,Pc,1.87,McMaster-Carr,
ORG-2004,O-RING VITON 75MM ID,161,PCS,43.00,James Walker,see attached spec
VLV-1557,BALL VALVE FULL PORT 3IN,39,pc,644.16,Neles,urgent
PIP-1454,Copper Tube Type L 4in x 6m,54,EA,79.63,POSCO,
MTR-1849,SERVO MOTOR 25HP,7,ea,1732.55,ABB,
PIP-1460,Chrome Moly Pipe 2in x 6m,116,pc,179.10,Tata Steel,backorder ok
FLT-1781,Oil Filter Element 50 Micron,93,pcs,140.95,Mahle,quarterly order
WSH-1306,Flat Washer 1/2in,6944,PCS,1.37,Nord-Lock,check inventory first
ELC-2056,Overload Relay 32A,29,pc,234.89,Allen-Bradley,approved by mgr
BLT-1121,Carriage Bolt M8x30,1135,ea.,4.17,Nord-Lock,check inventory first
NUT-1231,  Coupling Nut M8 ,3170,PCS,1.75,Wurth,
ELC-2087,junction box 25a,36,pc,210.72,Allen-Bradley,urgent
GSK-1652,PTFE Envelope Gasket 2in 300#,24,ea.,5.71,Teadit,standard
ELC-2097,Push Button Switch 40A,11,EA,313.44,Allen-Bradley,
LUB-1967,gear oil 20l,41,PCS,114.84,Mobil,approved by mgr
NUT-1271,Weld Nut M8,5398,Pc,2.73,Fastenal,quarterly order
BLT-1122,Carriage Bolt M10x40,2664,ea.,3.40,McMaster-Carr,
VLV-1631,solenoid valve 6in,37,ea.,406.43,Emerson,see attached spec
ORG-2029,V-Ring Seal 10mm ID,298,Pc,38.23,SKF,new requirement
PRS-1717,thermocouple type k 0-200psi,11,EA,239.09,Emerson Rosemount,
NUT-1257,castle nut 5/8in,9009,pcs.,2.85,Fastenal,urgent
BLT-1183,Structural Bolt M10x50,4043,EA,5.83,Fastenal,need by Friday
SLV-1906,Shaft Sleeve 25mm,4,pcs.,100.87,Dodge,standard
MTR-1838,Gear Motor 20HP,1,pcs,411.67,Baldor,see attached spec
ELC-2078,Cable Gland 16A,14,pc,70.84,Eaton,need by Friday
VLV-1630,SOLENOID VALVE 4IN,25,pc,779.51,Velan,urgent
VLV-1567,GATE VALVE 6IN,31,ea.,835.85,Emerson,replacement
NUT-1286,Acorn Nut 1/2in,8265,Pc,0.91,Grainger,
ELB-1489,Street Elbow 90deg 3/4in,144,pcs,7.97,Victaulic,check inventory first
ELB-1497,Reducing Elbow 3/4in,173,pcs.,25.53,Victaulic,new requirement
NUT-1265,Cage Nut M20,2749,pcs.,2.28,Fastenal,new requirement
NUT-1282,Acorn Nut M10,2012,ea,1.95,Wurth,see attached spec
WLD-2102,Welding Rod E6010 3.2mm x 5kg,83,pc,42.09,Lincoln Electric,replacement
MTR-1867,Explosion Proof Motor 15HP,4,pc,1403.09,Baldor,backorder ok
BRG-1010,tapered roller bearing 6205,302,ea.,40.94,Timken,
LUB-1970,Compressor Oil 1kg,36,Pc,366.54,Chevron,backorder ok
ELB-1465,Elbow 90deg 3/4in,27,ea.,80.08,Anvil International,
BLT-1185,Structural Bolt M16x80,3907,pcs.,6.56,Hilti,replacement
VLV-1598,Needle Valve 4in,27,pcs,571.53,Velan,
VLV-1560,Gate Valve 1/2in,16,PCS,373.43,Velan,
PRS-1696,Flow Meter 0-200psi,15,EA,83.23,Yokogawa,
BRG-1038,Spherical Roller Bearing 51105,30,pcs.,55.34,INA,approved by mgr
BRG-1000,Deep Groove Ball Bearing 6205,179,pcs,51.66,NTN,urgent
PRS-1701,Flow Meter 4in line,24,EA,411.65,Endress+Hauser,standard
ELC-2062,Control Transformer 16A,34,pcs.,230.73,Schneider Electric,
PRS-1681,Pressure Gauge 0-100psi,17,ea.,233.41,Emerson Rosemount,standard
BLT-1133,Flange Bolt M10x50,1837,Pc,7.56,McMaster-Carr,new requirement
VLV-1583,Check Valve Swing 6in,43,PCS,674.30,Velan,need by Friday
VLV-1621,Relief Valve 3in,30,ea.,406.80,Neles,
VLV-1605,Plug Valve 3in,9,PCS,232.74,Cameron,new requirement
HSE-1761,HYDRAULIC PUMP 1/2IN,16,ea,309.62,Hydac,
HSE-1772,Quick Disconnect Coupling 1/2in x 3m,17,PCS,230.93,Danfoss,
ELC-2078,CABLE GLAND 16A,24,pcs.,80.35,Eaton,standard
FLT-1798,Fuel Filter 25 Micron,84,PCS,19.96,Mahle,approved by mgr
FLG-1526,Blind Flange 4in 300#,21,ea.,244.92,Coastal Flange,approved by mgr
ELB-1479,Elbow 45deg 6in,85,ea,65.55,Victaulic,
PIP-1452,  Copper Tube Type L 2in x 6m ,149,EA,329.65,Nippon Steel,
ELB-1481,Long Radius Elbow 90deg 3/4in,123,ea,81.31,Georg Fischer,need by Friday
BLT-1116,Socket Head Cap Screw M20x100,72,EA,3.75,Wurth,
ORG-2008,O-Ring Silicone 25mm ID,310,ea,8.31,Freudenberg,
BLT-1106,Hex Bolt M20x100,4614,pcs.,5.41,Wurth,see attached spec
NUT-1227,Flange Nut 5/8in,6311,PCS,2.16,Fastenal,
FLG-1550,Lap Joint Flange 4in 300#,85,Pc,224.73,Boltex,approved by mgr
BLT-1184,Structural Bolt M12x60,4789,ea.,2.25,McMaster-Carr,
PIP-1400,  Steel Pipe SCH40 1/2in x 6m ,134,PCS,258.63,Tenaris,backorder ok
MTR-1846,  Servo Motor 10HP ,3,pcs.,1460.28,ABB,check inventory first
BLT-1112,SOCKET HEAD CAP SCREW M10X40,852,pcs,2.48,Grainger,backorder ok
BLT-1112,SOCKET HEAD CAP SCREW M10X40,852,pcs,2.48,Grainger,backorder ok
FLG-1512,SLIP-ON FLANGE 1IN 150#,53,PCS,256.18,Bonney Forge,
FLG-1512,SLIP-ON FLANGE 1IN 150#,53,PCS,256.18,Bonney Forge,
GSK-1667,kammprofile gasket 1in 150#,127,ea,9.06,Teadit,need by Friday
BRG-1089,Cylindrical Roller Bearing UC205,195,pcs.,83.22,NTN,need by Friday
VLV-1619,  Relief Valve 1.5in ,39,ea,91.71,Cameron,need by Friday
SLV-1918,Shaft Coupling 60mm,39,pc,200.07,Timken,need by Friday
GSK-1644,Ring Joint Gasket 8in 150#,17,pc,20.88,Lamons,
ELB-1482,Long Radius Elbow 90deg 1in,60,ea,76.61,Smith-Cooper,replacement
BRG-1060,Pillow Block Bearing 6205,483,Pc,89.70,SKF,backorder ok
SLV-1943,Shaft Seal 75mm,14,EA,35.29,Timken,approved by mgr
GSK-1679,Metal Jacketed Gasket 8in 150#,184,Pc,34.68,Flexitallic,
HSE-1760,Hydraulic Pump 3/8in,5,pcs,481.34,Bosch Rexroth,
WSH-1348,Fender Washer 3/4in,9218,pcs.,0.31,Grainger,standard
PIP-1418,CARBON STEEL PIPE SCH80 1IN X 6M,158,pc,281.83,Nippon Steel,
VLV-1607,Plug Valve 6in,15,pcs.,243.70,Emerson,
BRG-1033,Spherical Roller Bearing 30206,494,PCS,115.58,Koyo,
WSH-1303,Flat Washer M12,4103,pcs.,0.35,Nord-Lock,replacement
BLT-1131,Flange Bolt M8x30,3475,PCS,3.74,Nord-Lock,backorder ok
NUT-1289,acorn nut 1in,927,pcs,0.42,McMaster-Carr,quarterly order
HSE-1750,hydraulic cylinder 1in x 5m,30,pcs,157.34,Parker,quarterly order
ORG-2015,Oil Seal 20mm ID,165,pcs.,28.62,James Walker,
MTR-1847,servo motor 15hp,6,EA,1019.93,Siemens,need by Friday
ORG-1999,O-Ring Viton 20mm ID,251,EA,24.74,Trelleborg,need by Friday
PIP-1411,SS Pipe SCH10 1.5in x 6m,172,PCS,136.97,Tenaris,
PIP-1453,copper tube type l 3in x 6m,39,EA,121.55,Tata Steel,need by Friday
