Part Number,Description,Qty,UOM,Unit Price,Supplier
ORG-2016,Oil Seal 25mm ID,413,pcs,21.13,SKF Distributor Inc
HSE-1754,Hydraulic Pump 1/4in x 1m,12,pcs.,351.35,Grainger Industrial
BRG-1051,Needle Roller Bearing 6208,260,Pieces,60.71,Swagelok Authorized
BRG-1051,Needle Roller Bearing 6208,260,Pieces,60.71,Swagelok Authorized
ELC-2053,Overload Relay 10A,32,EA,230.80,Swagelok Authorized
HSE-1758,Hydraulic Pump 1in x 5m,40,pcs,135.44,Fastenal Direct
FLG-1524,Blind Flange 6in 150#,64,ea.,42.62,SKF Distributor Inc
VLV-1609,Diaphragm Valve 3/4in,42,Each,343.37,McMaster Supply Co
VLV-1585,Butterfly Valve 3/4in,50,EA,47.02,SKF Distributor Inc
PIP-1458,chrome moly pipe 1in x 6m,77,pcs,339.96,Parker Hannifin
VLV-1554,Ball Valve Full Port 1in,29,pcs.,136.42,Parker Hannifin
WLD-2120,TIG Rod ER308L 3.2mm x 5kg,98,pcs.,68.55,ABB Sales Division
FLT-1817,STRAINER BASKET 50 MICRON,64,Pieces,86.13,Fastenal Direct
BRG-1090,Flanged Bearing Unit 6205,171,pcs,50.12,McMaster Supply Co
NUT-1224,Flange Nut M16,1097,Pieces,0.69,Fastenal Direct
PRS-1707,Level Transmitter 2in line,6,Each,403.70,SKF Distributor Inc
ELC-2062,control transformer 16a,11,pcs.,57.64,Parker Hannifin
HSE-1740,Hydraulic Fitting 1/2in x 3m,13,EA,12.93,McMaster Supply Co
NUT-1270,Weld Nut M6,853,Each,1.15,Swagelok Authorized
FLG-1529,Socket Weld Flange 2in 150#,54,Each,242.52,Georg Fischer Piping
FLG-1548,Lap Joint Flange 6in 150#,73,Pcs,24.15,Swagelok Authorized
BLT-1128,  Carriage Bolt 5/8x3in ,4103,ea.,5.95,Parker Hannifin
ELC-2053,Overload Relay 10A,23,ea.,130.92,Parker Hannifin
SLV-1952,Mechanical Seal 80mm,31,Each,93.25,Fastenal Direct
WLD-2109,Welding Rod E7018 4.0mm x 5kg,86,Pcs,62.38,McMaster Supply Co
FLG-1506,Weld Neck Flange 3in 150#,38,Pieces,92.20,Grainger Industrial
GSK-1677,metal jacketed gasket 4in 150#,130,Each,40.89,Grainger Industrial
GSK-1654,Rubber Gasket 2in 150#,193,Pieces,31.54,ABB Sales Division
VLV-1565,Gate Valve 3in,8,Pieces,441.72,Swagelok Authorized
SLV-1938,Shaft Seal 25mm,22,ea,182.65,Fastenal Direct
SLV-1944,Shaft Seal 80mm,39,ea.,306.73,ABB Sales Division
SLV-1944,Shaft Seal 80mm,39,ea.,306.73,ABB Sales Division
SLV-1925,Shaft Collar 50mm,24,pcs,313.55,Parker Hannifin
HSE-1733,Hydraulic Hose 3/4in x 3m,22,ea,459.53,SKF Distributor Inc
PRS-1726,RTD Sensor PT100 0-150C,14,Each,164.98,Georg Fischer Piping
BLT-1152,U-Bolt M10x40,1725,EA,2.90,Georg Fischer Piping
HSE-1770,Quick Disconnect Coupling 1/4in x 1m,29,ea,402.71,Parker Hannifin
WSH-1378,Sealing Washer 3/4in,9638,EA,1.30,SKF Distributor Inc
BLT-1138,  Flange Bolt 5/8x3in ,547,EA,1.80,Fastenal Direct
BLT-1138,  Flange Bolt 5/8x3in ,547,EA,1.80,Fastenal Direct
WSH-1374,SEALING WASHER M16,2396,pcs,1.28,Georg Fischer Piping
WSH-1313,Lock Washer M12,964,Each,1.87,Fastenal Direct
ELC-2069,Terminal Block 10A,31,Pcs,244.54,Parker Hannifin
PIP-1428,Galvanized Pipe 2in x 6m,146,ea,161.32,McMaster Supply Co
VLV-1567,Gate Valve 6in,45,EA,296.66,Fastenal Direct
WSH-1385,Fiber Washer M20,9319,Each,1.99,Swagelok Authorized
WSH-1385,Fiber Washer M20,9319,Each,1.99,Swagelok Authorized
BRG-1076,Self-Aligning Bearing 22210,293,Pcs,37.56,Grainger Industrial
ELB-1501,Reducing Elbow 3in,38,Each,41.34,Parker Hannifin
PIP-1457,Chrome Moly Pipe 3/4in x 6m,158,pcs.,97.50,Swagelok Authorized
PRS-1725,RTD Sensor PT100 0-500psi,9,ea.,284.85,Georg Fischer Piping
ORG-2021,Lip Seal 10mm ID,49,ea,38.25,McMaster Supply Co
BLT-1131,Flange Bolt M8x30,3996,ea,3.20,ABB Sales Division
WLD-2128,Flux Core Wire E71T-1 0.8mm x 15kg,13,Pcs,114.51,Parker Hannifin
NUT-1207,  Hex Nut 5/8in ,6794,Pieces,2.34,Swagelok Authorized
NUT-1207,  Hex Nut 5/8in ,6794,Pieces,2.34,Swagelok Authorized
ELC-2042,Circuit Breaker 63A,3,ea,375.73,Parker Hannifin
HSE-1767,Hydraulic Filter 1/4in,35,pcs.,378.31,Parker Hannifin
VLV-1572,Globe Valve 2in,16,Pieces,27.16,SKF Distributor Inc
BRG-1012,Tapered Roller Bearing 6310,59,Pieces,107.02,Parker Hannifin
NUT-1291,T-Nut M8,4597,pcs,1.58,ABB Sales Division
PIP-1446,CPVC Pipe 4in x 6m,194,EA,129.28,Swagelok Authorized
PIP-1456,  Chrome Moly Pipe 1/2in x 6m ,21,ea,122.98,Georg Fischer Piping
HSE-1765,Hydraulic Filter 3/4in x 3m,18,ea.,309.75,Fastenal Direct
BLT-1165,Stud Bolt M16x80,1885,EA,4.48,McMaster Supply Co
GSK-1657,Rubber Gasket 6in 150#,85,ea.,31.47,Fastenal Direct
VLV-1580,CHECK VALVE SWING 2IN,27,ea.,159.65,ABB Sales Division
BLT-1113,SOCKET HEAD CAP SCREW M10X50,4135,Pcs,5.68,Fastenal Direct
ELC-2058,Overload Relay 63A,9,ea,48.90,ABB Sales Division
WLD-2110,Welding Rod E7018 0.8mm x 15kg,36,ea,73.20,Fastenal Direct
WLD-2110,Welding Rod E7018 0.8mm x 15kg,36,ea,73.20,Fastenal Direct
HSE-1746,Hydraulic Cylinder 1/4in x 1m,24,Pieces,606.82,Georg Fischer Piping
SLV-1952,Mechanical Seal 80mm,20,pcs.,201.72,ABB Sales Division
SLV-1952,Mechanical Seal 80mm,20,pcs.,201.72,ABB Sales Division
MTR-1824,Electric Motor 3Phase 5HP,4,Each,1271.51,Grainger Industrial
FLT-1811,Bag Filter 50 Micron,56,pcs.,151.55,Swagelok Authorized
BLT-1116,Socket Head Cap Screw M20x100,3545,ea,2.65,SKF Distributor Inc
BRG-1006,Deep Groove Ball Bearing 22210,47,pcs,97.96,Grainger Industrial
ELC-2067,Control Transformer 100A,17,Each,143.59,Georg Fischer Piping
HSE-1733,Hydraulic Hose 3/4in x 3m,25,EA,524.81,Parker Hannifin
WLD-2114,MIG Wire ER70S-6 3.2mm x 5kg,21,pcs.,34.71,McMaster Supply Co
BLT-1127,Carriage Bolt 1/2x2in,1679,ea.,7.62,Grainger Industrial
ELC-2068,Control Transformer 160A,27,pcs,270.95,Fastenal Direct
ELB-1466,Elbow 90deg 1in,93,ea.,27.90,SKF Distributor Inc
PIP-1446,CPVC Pipe 4in x 6m,13,Each,272.60,Grainger Industrial
BLT-1189,Structural Bolt 3/4x4in,4266,ea.,3.74,SKF Distributor Inc
GSK-1657,  Rubber Gasket 6in 150# ,42,EA,34.49,Grainger Industrial
PMP-1905,Booster Pump 4in 25HP,1,Each,8202.49,Georg Fischer Piping
BRG-1033,spherical roller bearing 30206,220,EA,22.02,Swagelok Authorized
ELC-2087,Junction Box 25A,5,ea,350.81,ABB Sales Division
PMP-1902,Booster Pump 2in 10HP,1,Pcs,7300.09,Georg Fischer Piping
GSK-1658,Rubber Gasket 8in 150#,105,Pieces,58.78,McMaster Supply Co
GSK-1658,Rubber Gasket 8in 150#,105,Pieces,58.78,McMaster Supply Co
ORG-1994,O-Ring Buna-N 40mm ID,157,EA,13.69,Parker Hannifin
PIP-1409,  SS Pipe SCH10 3/4in x 6m ,42,pcs.,116.22,Grainger Industrial
WSH-1375,Sealing Washer M20,1067,pcs,1.52,SKF Distributor Inc
WLD-2101,Welding Rod E6010 2.5mm x 5kg,56,Each,18.33,Parker Hannifin
ELC-2066,  Control Transformer 63A ,47,Pieces,286.38,Fastenal Direct
PIP-1405,Steel Pipe SCH40 3in x 6m,158,pcs.,17.81,Swagelok Authorized
WSH-1333,Belleville Washer M12,5359,Pcs,0.34,Georg Fischer Piping
WSH-1353,wave washer m12,7655,pcs.,0.22,Swagelok Authorized
BRG-1063,Pillow Block Bearing 30206,71,ea,86.49,SKF Distributor Inc
WSH-1331,Belleville Washer M8,3297,pcs.,1.24,Georg Fischer Piping
PRS-1687,Pressure Gauge 4in line,22,pcs.,267.87,Fastenal Direct
LUB-1960,Hydraulic Oil 1kg,35,EA,430.23,McMaster Supply Co
PRS-1696,Flow Meter 0-200psi,29,ea,200.92,ABB Sales Division
HSE-1755,Hydraulic Pump 3/8in x 2m,5,ea,312.28,Fastenal Direct
PMP-1882,Gear Pump 1in 5HP,1,pcs.,2409.78,Fastenal Direct
HSE-1756,Hydraulic Pump 1/2in x 3m,22,Each,394.51,Parker Hannifin
MTR-1863,Explosion Proof Motor 3HP,2,pcs,2314.85,Georg Fischer Piping
WSH-1393,COPPER WASHER M12,4161,Pcs,1.11,Georg Fischer Piping
FLG-1518,Slip-On Flange 4in 300#,12,ea,189.42,McMaster Supply Co
VLV-1603,plug valve 1.5in,48,Each,200.38,Parker Hannifin
WLD-2102,Welding Rod E6010 3.2mm x 5kg,83,EA,16.85,Swagelok Authorized
PMP-1889,Peristaltic Pump 1.5in 7.5HP,2,pcs.,4035.67,Georg Fischer Piping
VLV-1599,Needle Valve 6in,49,ea,187.27,Fastenal Direct
NUT-1216,Lock Nut Nylon Insert 1/2in,8900,Pieces,1.14,Grainger Industrial
ELC-2077,Cable Gland 10A,48,Pieces,248.71,McMaster Supply Co
MTR-1863,Explosion Proof Motor 3HP,4,Each,3479.75,Parker Hannifin
SLV-1906,Shaft Sleeve 25mm,28,Pieces,172.92,SKF Distributor Inc
PIP-1447,CPVC Pipe 6in x 6m,124,ea.,140.16,McMaster Supply Co
BRG-1034,Spherical Roller Bearing 30208,337,pcs,117.08,Swagelok Authorized
BRG-1054,Needle Roller Bearing 30208,308,Pieces,67.09,McMaster Supply Co
BRG-1054,Needle Roller Bearing 30208,308,Pieces,67.09,McMaster Supply Co
PRS-1706,Level Transmitter 0-300C,8,Pieces,278.14,Georg Fischer Piping
PRS-1706,Level Transmitter 0-300C,8,Pieces,278.14,Georg Fischer Piping
FLT-1779,Oil Filter Element 10 Micron,70,pcs.,143.67,ABB Sales Division
BRG-1016,Tapered Roller Bearing 22210,222,pcs,72.60,Swagelok Authorized
NUT-1238,Coupling Nut 3/4in,3517,ea.,0.17,Parker Hannifin
GSK-1633,Spiral Wound Gasket 2in 150#,157,Pieces,59.10,Swagelok Authorized
BLT-1158,  U-Bolt 5/8x3in ,2690,pcs,6.21,Fastenal Direct
HSE-1772,quick disconnect coupling 1/2in x 3m,31,Pieces,510.47,McMaster Supply Co
WLD-2122,TIG Rod ER308L 0.8mm x 15kg,67,ea.,107.06,McMaster Supply Co
ORG-2032,V-Ring Seal 25mm ID,447,pcs.,36.48,Georg Fischer Piping
VLV-1585,Butterfly Valve 3/4in,17,Each,419.94,Swagelok Authorized
VLV-1619,Relief Valve 1.5in,31,Pcs,677.54,SKF Distributor Inc
BLT-1159,U-Bolt 3/4x4in,2564,Pcs,1.75,Parker Hannifin
HSE-1757,Hydraulic Pump 3/4in x 3m,45,Pieces,342.00,McMaster Supply Co
HSE-1768,Hydraulic Filter 3/8in,45,pcs.,323.15,Fastenal Direct
NUT-1288,Acorn Nut 3/4in,4539,ea.,1.66,Parker Hannifin
MTR-1822,Electric Motor 3Phase 2HP,10,Each,1043.81,Swagelok Authorized
NUT-1253,Castle Nut M12,588,pcs.,2.72,SKF Distributor Inc
NUT-1253,Castle Nut M12,588,pcs.,2.72,SKF Distributor Inc
WSH-1387,Fiber Washer 5/8in,8600,ea,1.31,Georg Fischer Piping
NUT-1230,  Coupling Nut M6 ,3094,Pcs,1.90,Parker Hannifin
VLV-1605,Plug Valve 3in,26,EA,831.63,Fastenal Direct
NUT-1255,Castle Nut M20,1174,ea.,0.14,Swagelok Authorized
BRG-1058,Needle Roller Bearing 51105,392,ea.,49.06,Georg Fischer Piping
ELC-2056,Overload Relay 32A,38,EA,261.73,Parker Hannifin
ELC-2087,Junction Box 25A,35,EA,223.82,Swagelok Authorized
ELC-2077,Cable Gland 10A,30,pcs,152.14,SKF Distributor Inc
BRG-1085,Cylindrical Roller Bearing 7208,328,ea,8.25,ABB Sales Division
FLG-1521,Blind Flange 2in 150#,18,Each,29.22,McMaster Supply Co
WSH-1319,Lock Washer 1in,1327,Pieces,0.68,Grainger Industrial
WSH-1314,Lock Washer M16,2019,ea.,1.66,McMaster Supply Co
VLV-1593,Needle Valve 3/4in,15,Pieces,499.90,McMaster Supply Co
ELB-1464,Elbow 90deg 1/2in,165,ea,55.37,Fastenal Direct
BLT-1126,Carriage Bolt M20x100,598,ea,3.03,Georg Fischer Piping
VLV-1616,Relief Valve 1/2in,30,Pcs,457.66,Parker Hannifin
LUB-1961,Hydraulic Oil 5L,20,Pcs,252.06,Fastenal Direct
LUB-1967,Gear Oil 20L,24,Pcs,181.64,Swagelok Authorized
MTR-1856,Stepper Motor 10HP,9,Pcs,3386.32,Parker Hannifin
NUT-1203,Hex Nut M12,4395,Pcs,0.48,SKF Distributor Inc
GSK-1676,Metal Jacketed Gasket 3in 150#,58,EA,5.88,Fastenal Direct
ORG-2004,O-Ring Viton 75mm ID,225,EA,28.73,SKF Distributor Inc
HSE-1740,Hydraulic Fitting 1/2in x 3m,26,ea,416.91,ABB Sales Division
WLD-2119,TIG Rod ER308L 2.5mm x 5kg,38,ea,114.49,Fastenal Direct
PRS-1720,Thermocouple Type K 0-300C,23,EA,369.47,Grainger Industrial
WSH-1348,  Fender Washer 3/4in ,7253,ea.,0.34,McMaster Supply Co
WSH-1392,Copper Washer M10,6911,ea.,1.40,ABB Sales Division
NUT-1289,Acorn Nut 1in,9289,ea.,0.66,Georg Fischer Piping
MTR-1821,Electric Motor 3Phase 1HP,10,Each,955.37,McMaster Supply Co
WSH-1398,Copper Washer 3/4in,6135,Each,1.06,Parker Hannifin
SLV-1919,Shaft Coupling 75mm,22,ea.,231.44,Swagelok Authorized
PRS-1701,Flow Meter 4in line,9,Pieces,448.28,Fastenal Direct
WSH-1351,  Wave Washer M8 ,6461,EA,0.71,Georg Fischer Piping
WSH-1391,Copper Washer M8,3738,ea.,0.98,Grainger Industrial
BLT-1130,Flange Bolt M6x20,178,Pieces,1.67,Grainger Industrial
WLD-2122,  TIG Rod ER308L 0.8mm x 15kg ,71,ea.,32.39,Swagelok Authorized
NUT-1265,  Cage Nut M20 ,5073,pcs.,0.64,Grainger Industrial
BLT-1168,Stud Bolt 5/8x3in,2780,pcs,7.92,Georg Fischer Piping
WSH-1331,Belleville Washer M8,5765,Pcs,0.37,Grainger Industrial
WSH-1331,Belleville Washer M8,5765,Pcs,0.37,Grainger Industrial
ELB-1468,Elbow 90deg 2in,26,ea,62.67,Parker Hannifin
NUT-1259,Castle Nut 1in,244,Pieces,1.95,McMaster Supply Co
ELB-1480,LONG RADIUS ELBOW 90DEG 1/2IN,24,ea,75.87,Grainger Industrial
PIP-1434,pvc pipe sch40 1in x 6m,194,ea.,58.13,Georg Fischer Piping
WLD-2103,Welding Rod E6010 4.0mm x 5kg,54,ea.,78.75,McMaster Supply Co
WSH-1383,Fiber Washer M12,2033,Pieces,1.30,Fastenal Direct
FLG-1537,Threaded Flange 2in 150#,48,ea,38.96,Georg Fischer Piping
LUB-1977,Chain Lubricant 20L,12,Pieces,202.31,ABB Sales Division
PMP-1883,  Gear Pump 1.5in 7.5HP ,3,Each,6817.84,Swagelok Authorized
NUT-1220,Flange Nut M6,3590,EA,0.30,Georg Fischer Piping
BLT-1175,Anchor Bolt M16x80,2970,Pcs,1.51,Parker Hannifin
PMP-1900,Booster Pump 1in 5HP,5,ea.,5838.54,Swagelok Authorized
WSH-1344,Fender Washer M16,1128,Pcs,0.85,Fastenal Direct
FLG-1536,Threaded Flange 1in 150#,9,pcs,121.40,Grainger Industrial
LUB-1966,Gear Oil 5L,31,Pieces,146.95,Parker Hannifin
FLT-1810,bag filter 25 micron,93,ea,137.96,Fastenal Direct
VLV-1628,Solenoid Valve 2in,36,pcs.,444.96,Grainger Industrial
GSK-1655,Rubber Gasket 3in 150#,190,pcs.,48.58,Georg Fischer Piping
BLT-1128,Carriage Bolt 5/8x3in,3790,Pieces,7.47,SKF Distributor Inc
WSH-1397,Copper Washer 5/8in,4122,Pcs,1.59,Fastenal Direct
FLT-1796,Fuel Filter 5 Micron,90,pcs,173.04,Parker Hannifin
FLT-1796,Fuel Filter 5 Micron,90,pcs,173.04,Parker Hannifin
PRS-1698,Flow Meter 0-150C,19,Pcs,114.25,Fastenal Direct
NUT-1228,Flange Nut 3/4in,8802,pcs.,0.45,Swagelok Authorized
BRG-1007,Deep Groove Ball Bearing NU210,420,Each,82.45,Georg Fischer Piping
BLT-1135,Flange Bolt M16x80,4765,EA,0.12,Georg Fischer Piping
HSE-1771,Quick Disconnect Coupling 3/8in x 2m,48,EA,74.83,Grainger Industrial
BLT-1133,  Flange Bolt M10x50 ,765,Pieces,4.65,Georg Fischer Piping
PRS-1695,Flow Meter 0-100psi,5,ea,162.67,Fastenal Direct
SLV-1917,Shaft Coupling 50mm,39,Pieces,265.07,Parker Hannifin
FLG-1538,  Threaded Flange 3in 150# ,99,pcs,186.18,Grainger Industrial
BLT-1187,Structural Bolt 1/2x2in,664,Each,2.62,SKF Distributor Inc
BRG-1038,Spherical Roller Bearing 51105,268,Pieces,10.72,McMaster Supply Co
BRG-1038,Spherical Roller Bearing 51105,268,Pieces,10.72,McMaster Supply Co
HSE-1757,Hydraulic Pump 3/4in x 3m,33,Pcs,270.28,Parker Hannifin
WLD-2105,Welding Rod E6010 1.0mm x 15kg,21,ea.,50.08,Swagelok Authorized
HSE-1736,Hydraulic Hose 3/8in,43,EA,601.66,Swagelok Authorized
WSH-1318,Lock Washer 3/4in,1372,Each,1.16,ABB Sales Division
FLT-1798,Fuel Filter 25 Micron,8,Each,93.37,SKF Distributor Inc
NUT-1262,Cage Nut M10,8432,Pcs,0.94,Parker Hannifin
PIP-1420,Carbon Steel Pipe SCH80 2in x 6m,168,pcs.,101.71,Swagelok Authorized
SLV-1913,Shaft Sleeve 100mm,38,Pcs,186.60,Georg Fischer Piping
FLG-1544,Lap Joint Flange 1in 150#,46,Pcs,28.89,Parker Hannifin
ELC-2100,Push Button Switch 160A,41,Pieces,323.29,Swagelok Authorized
MTR-1844,Servo Motor 5HP,9,Pcs,3333.81,ABB Sales Division
BRG-1015,Tapered Roller Bearing 7208,205,pcs,48.88,Grainger Industrial
BRG-1015,Tapered Roller Bearing 7208,205,pcs,48.88,Grainger Industrial
PIP-1423,CARBON STEEL PIPE SCH80 6IN X 6M,197,Pcs,166.30,Georg Fischer Piping
PRS-1702,Level Transmitter 0-100psi,10,EA,125.38,Georg Fischer Piping
GSK-1642,ring joint gasket 4in 150#,173,Each,13.02,Grainger Industrial
PIP-1433,PVC Pipe SCH40 3/4in x 6m,200,Pcs,199.42,McMaster Supply Co
BRG-1018,Tapered Roller Bearing 51105,453,Pieces,78.74,SKF Distributor Inc
BRG-1018,Tapered Roller Bearing 51105,453,Pieces,78.74,SKF Distributor Inc
GSK-1643,ring joint gasket 6in 150#,66,pcs,42.48,McMaster Supply Co
PIP-1409,SS Pipe SCH10 3/4in x 6m,167,ea.,189.70,McMaster Supply Co
WSH-1335,Belleville Washer M20,8545,pcs.,1.64,McMaster Supply Co
GSK-1642,Ring Joint Gasket 4in 150#,179,EA,24.86,ABB Sales Division
GSK-1661,Graphite Gasket 2in 150#,127,Pcs,22.19,SKF Distributor Inc
WSH-1326,Spring Washer 1/2in,223,ea,1.08,Swagelok Authorized
NUT-1275,Weld Nut M20,5306,ea,1.08,Fastenal Direct
SLV-1918,Shaft Coupling 60mm,23,ea,280.42,SKF Distributor Inc
HSE-1763,Hydraulic Filter 3/8in x 2m,19,ea.,630.78,McMaster Supply Co
GSK-1664,Graphite Gasket 6in 150#,142,Each,47.38,Swagelok Authorized
NUT-1211,Lock Nut Nylon Insert M8,1709,ea.,1.19,Parker Hannifin
VLV-1580,Check Valve Swing 2in,20,pcs.,479.34,ABB Sales Division
FLT-1818,Strainer Basket 100 Micron,5,pcs.,116.17,SKF Distributor Inc
WLD-2111,Welding Rod E7018 1.0mm x 15kg,84,Pcs,75.94,Grainger Industrial
ORG-2006,O-Ring Silicone 15mm ID,364,Pieces,27.66,Grainger Industrial
PMP-1885,gear pump 2in 15hp,5,Pieces,3005.23,Parker Hannifin
NUT-1265,Cage Nut M20,2858,ea,2.15,SKF Distributor Inc
BRG-1096,Flanged Bearing Unit 22210,294,Pieces,63.02,ABB Sales Division
WSH-1300,Flat Washer M6,9637,ea.,0.60,Grainger Industrial
FLG-1512,Slip-On Flange 1in 150#,59,EA,78.91,Swagelok Authorized
VLV-1589,Butterfly Valve 3in,42,Each,619.72,SKF Distributor Inc
FLG-1511,Weld Neck Flange 6in 300#,15,Pieces,173.19,Fastenal Direct
FLG-1515,Slip-On Flange 4in 150#,34,Each,205.32,Fastenal Direct
MTR-1821,Electric Motor 3Phase 1HP,10,EA,742.32,Fastenal Direct
MTR-1849,  Servo Motor 25HP ,1,pcs.,2734.53,Fastenal Direct
WSH-1341,Fender Washer M8,483,pcs.,0.76,McMaster Supply Co
NUT-1296,T-Nut 1/2in,2082,pcs,1.71,Grainger Industrial
NUT-1286,Acorn Nut 1/2in,6619,ea.,2.64,Grainger Industrial
ELC-2079,Cable Gland 25A,34,ea.,83.47,Georg Fischer Piping
PMP-1899,Screw Pump 4in 25HP,5,ea,2447.38,Fastenal Direct
BRG-1053,Needle Roller Bearing 30206,97,pcs,101.63,ABB Sales Division
BLT-1124,Carriage Bolt M12x60,483,pcs.,3.07,ABB Sales Division
PRS-1722,  Thermocouple Type K 4in line ,6,pcs.,225.07,Grainger Industrial
SLV-1932,Shaft Key 40mm,16,Pieces,183.08,McMaster Supply Co
VLV-1566,Gate Valve 4in,2,Pcs,662.61,Fastenal Direct
FLT-1779,Oil Filter Element 10 Micron,57,pcs,104.61,Georg Fischer Piping
PMP-1889,Peristaltic Pump 1.5in 7.5HP,1,pcs,3684.04,Georg Fischer Piping
FLT-1810,Bag Filter 25 Micron,34,pcs,178.58,ABB Sales Division
HSE-1738,Hydraulic Fitting 1/4in x 1m,48,pcs.,107.62,McMaster Supply Co
PRS-1681,Pressure Gauge 0-100psi,6,pcs.,118.31,Parker Hannifin
ELB-1474,ELBOW 45DEG 1IN,165,Pieces,56.04,Fastenal Direct
PRS-1693,Temperature Gauge 2in line,13,ea.,208.94,Parker Hannifin
VLV-1578,check valve swing 1in,2,pcs.,282.35,Swagelok Authorized
LUB-1965,Gear Oil 1kg,20,ea.,35.74,Grainger Industrial
LUB-1965,Gear Oil 1kg,20,ea.,35.74,Grainger Industrial
PIP-1431,Galvanized Pipe 6in x 6m,157,Each,12.87,McMaster Supply Co
NUT-1286,Acorn Nut 1/2in,3754,pcs.,0.24,Fastenal Direct
ELC-2042,Circuit Breaker 63A,49,pcs,334.14,Grainger Industrial
VLV-1586,Butterfly Valve 1in,34,ea,217.38,McMaster Supply Co
PRS-1702,Level Transmitter 0-100psi,10,Each,240.97,ABB Sales Division
WSH-1351,Wave Washer M8,8649,pcs.,0.48,Parker Hannifin
PMP-1871,  Centrifugal Pump 1.5in 7.5HP ,1,pcs,3432.58,Grainger Industrial
NUT-1230,Coupling Nut M6,4399,EA,1.87,Grainger Industrial
VLV-1557,BALL VALVE FULL PORT 3IN,40,pcs,437.55,Swagelok Authorized
BRG-1064,Pillow Block Bearing 30208,33,ea.,37.73,ABB Sales Division
BRG-1064,Pillow Block Bearing 30208,33,ea.,37.73,ABB Sales Division
ELC-2089,Junction Box 40A,15,Each,263.15,Georg Fischer Piping
BRG-1022,Angular Contact Bearing 6310,197,pcs,54.60,ABB Sales Division
MTR-1825,Electric Motor 3Phase 7.5HP,9,ea,3364.38,Fastenal Direct
MTR-1850,Stepper Motor 0.5HP,7,EA,2981.08,Grainger Industrial
BRG-1011,Tapered Roller Bearing 6208,287,ea.,97.48,McMaster Supply Co
PIP-1416,Carbon Steel Pipe SCH80 1/2in x 6m,103,EA,274.57,SKF Distributor Inc
WSH-1348,Fender Washer 3/4in,3781,ea,1.79,Swagelok Authorized
PIP-1438,PVC Pipe SCH40 4in x 6m,149,ea.,136.43,ABB Sales Division
HSE-1764,Hydraulic Filter 1/2in x 3m,45,pcs,563.71,Parker Hannifin
ORG-1991,O-Ring Buna-N 20mm ID,325,Pcs,8.26,Fastenal Direct
VLV-1601,Plug Valve 3/4in,38,Pcs,832.88,Grainger Industrial
BRG-1001,Deep Groove Ball Bearing 6208,365,pcs,38.99,SKF Distributor Inc
FLG-1541,Threaded Flange 2in 300#,16,Pcs,278.04,McMaster Supply Co
BRG-1073,self-aligning bearing 30206,219,ea.,92.05,McMaster Supply Co
NUT-1288,Acorn Nut 3/4in,6656,pcs,1.51,SKF Distributor Inc
WLD-2105,Welding Rod E6010 1.0mm x 15kg,5,Each,56.42,ABB Sales Division
PRS-1701,FLOW METER 4IN LINE,25,Pcs,329.50,McMaster Supply Co
ORG-1999,O-Ring Viton 20mm ID,177,Pcs,38.63,Parker Hannifin
PRS-1729,RTD Sensor PT100 4in line,13,pcs.,395.73,Georg Fischer Piping
FLT-1784,AIR FILTER ELEMENT 5 MICRON,14,Pcs,81.59,Grainger Industrial
NUT-1211,Lock Nut Nylon Insert M8,4367,Each,2.46,SKF Distributor Inc
ELC-2067,Control Transformer 100A,33,pcs.,138.58,Georg Fischer Piping
VLV-1562,Gate Valve 1in,48,pcs.,725.10,Grainger Industrial
PRS-1692,Temperature Gauge 0-300C,27,pcs.,341.91,Georg Fischer Piping
PRS-1718,Thermocouple Type K 0-500psi,5,ea,183.70,Georg Fischer Piping
VLV-1578,Check Valve Swing 1in,49,EA,738.11,ABB Sales Division
LUB-1978,Chain Lubricant 200L,16,pcs,390.28,SKF Distributor Inc
BRG-1002,Deep Groove Ball Bearing 6310,339,ea.,71.25,Fastenal Direct
NUT-1210,lock nut nylon insert m6,1802,pcs,2.78,Swagelok Authorized
ELC-2053,Overload Relay 10A,2,pcs,372.47,Fastenal Direct
BRG-1067,Pillow Block Bearing NU210,12,Pcs,117.45,McMaster Supply Co
FLG-1544,Lap Joint Flange 1in 150#,20,EA,232.61,Fastenal Direct
FLG-1544,Lap Joint Flange 1in 150#,20,EA,232.61,Fastenal Direct
NUT-1299,T-Nut 1in,6357,ea.,2.33,Parker Hannifin
FLG-1511,Weld Neck Flange 6in 300#,16,Pieces,58.62,Grainger Industrial
PIP-1438,PVC Pipe SCH40 4in x 6m,90,ea.,291.20,ABB Sales Division
VLV-1605,Plug Valve 3in,41,Pcs,211.31,Parker Hannifin
BRG-1093,Flanged Bearing Unit 30206,79,Pcs,61.18,McMaster Supply Co
SLV-1948,Mechanical Seal 40mm,23,Pcs,87.03,Parker Hannifin
WLD-2121,TIG Rod ER308L 4.0mm x 5kg,47,ea.,29.88,Swagelok Authorized
HSE-1742,HYDRAULIC FITTING 1IN X 5M,48,ea,185.82,SKF Distributor Inc
VLV-1604,Plug Valve 2in,38,pcs.,599.63,McMaster Supply Co
SLV-1941,Shaft Seal 50mm,9,Pcs,259.48,McMaster Supply Co
SLV-1941,Shaft Seal 50mm,9,Pcs,259.48,McMaster Supply Co
VLV-1553,BALL VALVE FULL PORT 3/4IN,23,Pieces,466.57,Georg Fischer Piping
