Item ID,Part Desc,Quantity,Cost Per Unit,Vendor,Department
BLT-1110,Socket Head Cap Screw M6x20,2224,7.95,Electrical Supply House,Utilities
LUB-1976,Chain Lubricant 5L,38,140.34,Timken Industrial,Production
ELC-2042,CIRCUIT BREAKER 63A,19,188.22,National Bolt & Nut,Warehouse
HSE-1760,Hydraulic Pump 3/8in,27,235.11,Pump Solutions Ltd,Utilities
WLD-2130,Flux Core Wire E71T-1 1.2mm x 15kg,27,56.03,Valve World Inc,Utilities
SLV-1908,shaft sleeve 40mm,22,149.39,SKF Global,Maintenance
ELB-1497,Reducing Elbow 3/4in,59,49.95,Timken Industrial,Warehouse
NUT-1266,Cage Nut 1/2in,2734,0.38,Electrical Supply House,Quality
SLV-1937,Shaft Key 100mm,12,86.65,Timken Industrial,Engineering
FLT-1818,Strainer Basket 100 Micron,69,86.24,Pump Solutions Ltd,Engineering
NUT-1210,Lock Nut Nylon Insert M6,1184,0.10,National Bolt & Nut,Production
BLT-1137,Flange Bolt 1/2x2in,4698,5.61,Electrical Supply House,Safety
MTR-1837,GEAR MOTOR 15HP,7,2018.72,Timken Industrial,Utilities
GSK-1673,Kammprofile Gasket 2in 300#,149,20.83,National Bolt & Nut,Engineering
ELB-1476,ELBOW 45DEG 2IN,191,72.81,National Bolt & Nut,Warehouse
FLT-1809,bag filter 10 micron,26,151.13,National Bolt & Nut,Utilities
ELC-2046,Contactor 16A,43,258.14,Electrical Supply House,Safety
WSH-1307,flat washer 5/8in,3576,1.16,Seal & Gasket Warehouse,Warehouse
PMP-1897,SCREW PUMP 2IN 15HP,5,2780.59,SKF Global,Warehouse
WSH-1377,sealing washer 5/8in,9661,1.55,SKF Global,Warehouse
PIP-1442,CPVC Pipe 1in x 6m,55,328.06,National Bolt & Nut,Operations
BLT-1175,Anchor Bolt M16x80,734,6.09,SKF Global,Engineering
FLG-1526,Blind Flange 4in 300#,13,178.42,Seal & Gasket Warehouse,Production
ORG-2014,OIL SEAL 15MM ID,363,28.37,National Bolt & Nut,Operations
FLT-1790,Hydraulic Filter Element 5 Micron,46,63.89,National Bolt & Nut,Utilities
BLT-1132,Flange Bolt M10x40,3185,0.82,Timken Industrial,Engineering
WSH-1375,Sealing Washer M20,3090,1.36,Timken Industrial,Operations
VLV-1608,Diaphragm Valve 1/2in,45,615.10,Seal & Gasket Warehouse,Utilities
NUT-1253,  Castle Nut M12 ,952,1.94,Seal & Gasket Warehouse,Quality
PMP-1893,Peristaltic Pump 4in 25HP,5,5290.26,SKF Global,Warehouse
NUT-1234,coupling nut m16,6932,2.43,Valve World Inc,Utilities
VLV-1604,Plug Valve 2in,2,615.89,SKF Global,Safety
NUT-1237,Coupling Nut 5/8in,9691,1.96,SKF Global,Operations
NUT-1237,Coupling Nut 5/8in,9691,1.96,SKF Global,Operations
PRS-1729,RTD Sensor PT100 4in line,7,279.29,Timken Industrial,Operations
BRG-1047,Thrust Ball Bearing NU210,420,29.99,Pump Solutions Ltd,Operations
ELC-2088,Junction Box 32A,14,334.97,SKF Global,Maintenance
FLT-1792,Hydraulic Filter Element 25 Micron,71,98.61,Pipe & Fitting Co,Production
LUB-1975,Chain Lubricant 1kg,24,141.03,Pipe & Fitting Co,Engineering
LUB-1975,Chain Lubricant 1kg,24,141.03,Pipe & Fitting Co,Engineering
SLV-1906,Shaft Sleeve 25mm,4,187.29,Pump Solutions Ltd,Utilities
WSH-1393,Copper Washer M12,8765,0.35,Valve World Inc,Operations
ELC-2039,Circuit Breaker 25A,42,164.72,Seal & Gasket Warehouse,Quality
BRG-1080,Cylindrical Roller Bearing 6205,164,101.74,National Bolt & Nut,Warehouse
SLV-1939,Shaft Seal 30mm,26,259.19,SKF Global,Utilities
NUT-1226,Flange Nut 1/2in,1481,0.35,Pump Solutions Ltd,Quality
WSH-1365,Tab Washer M20,9645,1.90,Pump Solutions Ltd,Safety
WSH-1365,Tab Washer M20,9467,1.65,National Bolt & Nut,Utilities
NUT-1273,WELD NUT M12,4402,2.24,Seal & Gasket Warehouse,Warehouse
NUT-1292,T-Nut M10,4404,2.57,Timken Industrial,Warehouse
NUT-1292,T-Nut M10,4404,2.57,Timken Industrial,Warehouse
ELC-2083,Cable Gland 100A,34,301.29,Pipe & Fitting Co,Utilities
BRG-1017,Tapered Roller Bearing NU210,392,32.07,Valve World Inc,Safety
LUB-1961,Hydraulic Oil 5L,2,125.02,Valve World Inc,Quality
WSH-1360,TAB WASHER M6,9603,0.13,Electrical Supply House,Safety
WSH-1385,Fiber Washer M20,5943,1.51,Valve World Inc,Warehouse
VLV-1600,Plug Valve 1/2in,10,674.92,Seal & Gasket Warehouse,Engineering
VLV-1631,Solenoid Valve 6in,2,742.55,National Bolt & Nut,Engineering
ELB-1492,Street Elbow 90deg 2in,178,35.87,Electrical Supply House,Warehouse
BLT-1148,Eye Bolt 5/8x3in,2381,7.50,SKF Global,Engineering
NUT-1258,Castle Nut 3/4in,7041,0.48,National Bolt & Nut,Operations
PIP-1422,Carbon Steel Pipe SCH80 4in x 6m,52,124.61,Pipe & Fitting Co,Maintenance
BLT-1141,Eye Bolt M8x30,4844,6.05,Electrical Supply House,Operations
PRS-1696,Flow Meter 0-200psi,10,39.79,Seal & Gasket Warehouse,Maintenance
BLT-1176,Anchor Bolt M20x100,2384,7.24,Valve World Inc,Warehouse
ELC-2039,Circuit Breaker 25A,45,112.97,Pump Solutions Ltd,Warehouse
NUT-1229,  Flange Nut 1in ,4327,0.74,Electrical Supply House,Production
GSK-1669,Kammprofile Gasket 3in 150#,56,17.21,SKF Global,Operations
FLT-1779,Oil Filter Element 10 Micron,80,119.22,Timken Industrial,Operations
PIP-1420,carbon steel pipe sch80 2in x 6m,109,165.03,Seal & Gasket Warehouse,Utilities
VLV-1586,Butterfly Valve 1in,10,430.66,Pump Solutions Ltd,Engineering
GSK-1676,Metal Jacketed Gasket 3in 150#,49,29.56,National Bolt & Nut,Utilities
MTR-1852,Stepper Motor 2HP,3,1724.48,Timken Industrial,Safety
VLV-1625,solenoid valve 3/4in,33,838.96,Electrical Supply House,Warehouse
NUT-1268,Cage Nut 3/4in,7196,2.01,Timken Industrial,Safety
FLG-1545,Lap Joint Flange 2in 150#,33,61.57,Valve World Inc,Operations
BLT-1126,Carriage Bolt M20x100,4076,7.47,Seal & Gasket Warehouse,Operations
VLV-1611,Diaphragm Valve 1.5in,40,363.13,Timken Industrial,Quality
SLV-1949,mechanical seal 50mm,14,222.85,National Bolt & Nut,Quality
SLV-1949,mechanical seal 50mm,14,222.85,National Bolt & Nut,Quality
PRS-1719,Thermocouple Type K 0-150C,14,402.88,National Bolt & Nut,Utilities
ORG-2034,v-ring seal 40mm id,58,28.23,Pipe & Fitting Co,Operations
ELC-2060,  Overload Relay 160A ,49,232.49,Seal & Gasket Warehouse,Utilities
SLV-1912,Shaft Sleeve 80mm,20,272.95,SKF Global,Safety
FLT-1787,air filter element 50 micron,76,97.45,National Bolt & Nut,Warehouse
BLT-1101,Hex Bolt M8x30,4785,4.20,SKF Global,Engineering
FLT-1814,Strainer Basket 5 Micron,38,159.86,SKF Global,Quality
VLV-1623,relief valve 6in,22,636.58,Timken Industrial,Warehouse
ELB-1481,Long Radius Elbow 90deg 3/4in,98,10.58,Electrical Supply House,Maintenance
VLV-1601,Plug Valve 3/4in,22,547.74,Timken Industrial,Engineering
WSH-1364,Tab Washer M16,5099,0.63,Seal & Gasket Warehouse,Production
WSH-1347,fender washer 5/8in,6027,0.59,Seal & Gasket Warehouse,Maintenance
FLG-1529,Socket Weld Flange 2in 150#,74,108.99,Timken Industrial,Engineering
ELB-1491,Street Elbow 90deg 1.5in,70,64.26,Valve World Inc,Warehouse
VLV-1615,Diaphragm Valve 6in,22,589.92,Timken Industrial,Safety
ELC-2038,Circuit Breaker 16A,8,88.49,Electrical Supply House,Maintenance
LUB-1971,compressor oil 5l,19,130.37,Pump Solutions Ltd,Warehouse
HSE-1768,Hydraulic Filter 3/8in,3,430.50,National Bolt & Nut,Warehouse
FLT-1804,  Water Filter Cartridge 25 Micron ,19,153.39,Seal & Gasket Warehouse,Engineering
SLV-1911,Shaft Sleeve 75mm,18,59.40,National Bolt & Nut,Warehouse
BLT-1170,anchor bolt m6x20,480,0.14,Pump Solutions Ltd,Warehouse
BRG-1079,Self-Aligning Bearing UC205,152,13.96,Seal & Gasket Warehouse,Maintenance
PMP-1903,Booster Pump 2in 15HP,5,3407.60,Pump Solutions Ltd,Utilities
VLV-1567,Gate Valve 6in,20,67.09,Pump Solutions Ltd,Maintenance
FLT-1788,Air Filter Element 100 Micron,95,72.10,Pump Solutions Ltd,Maintenance
FLG-1522,Blind Flange 3in 150#,45,65.81,Timken Industrial,Maintenance
WLD-2116,MIG Wire ER70S-6 0.8mm x 15kg,65,81.25,Pump Solutions Ltd,Engineering
HSE-1756,  Hydraulic Pump 1/2in x 3m ,44,187.83,Seal & Gasket Warehouse,Safety
WSH-1313,LOCK WASHER M12,8290,1.50,National Bolt & Nut,Quality
LUB-1977,Chain Lubricant 20L,37,128.70,SKF Global,Maintenance
PMP-1905,Booster Pump 4in 25HP,2,4934.04,Pipe & Fitting Co,Operations
BLT-1121,Carriage Bolt M8x30,3058,4.18,Pump Solutions Ltd,Safety
PRS-1681,Pressure Gauge 0-100psi,25,192.68,Pump Solutions Ltd,Quality
BLT-1150,U-Bolt M6x20,3684,7.65,Timken Industrial,Warehouse
BRG-1031,Spherical Roller Bearing 6208,205,106.80,Timken Industrial,Utilities
NUT-1242,Wing Nut M10,2885,1.93,SKF Global,Utilities
NUT-1256,Castle Nut 1/2in,4224,0.53,Timken Industrial,Safety
BLT-1128,Carriage Bolt 5/8x3in,3097,1.45,Pump Solutions Ltd,Engineering
PIP-1456,Chrome Moly Pipe 1/2in x 6m,110,320.13,Seal & Gasket Warehouse,Maintenance
BLT-1121,Carriage Bolt M8x30,93,5.13,Pump Solutions Ltd,Warehouse
PIP-1461,Chrome Moly Pipe 3in x 6m,144,16.54,National Bolt & Nut,Engineering
BRG-1040,  Thrust Ball Bearing 6205 ,363,99.10,Pump Solutions Ltd,Safety
ELC-2072,terminal block 32a,4,375.96,Timken Industrial,Quality
BRG-1010,  Tapered Roller Bearing 6205 ,88,92.44,SKF Global,Warehouse
WSH-1320,Spring Washer M6,6532,0.34,Seal & Gasket Warehouse,Warehouse
VLV-1611,Diaphragm Valve 1.5in,9,39.91,Pipe & Fitting Co,Maintenance
SLV-1951,Mechanical Seal 75mm,35,297.23,Pipe & Fitting Co,Safety
SLV-1951,Mechanical Seal 75mm,35,297.23,Pipe & Fitting Co,Safety
MTR-1842,SERVO MOTOR 2HP,4,2317.30,SKF Global,Operations
PIP-1405,Steel Pipe SCH40 3in x 6m,118,150.03,Pump Solutions Ltd,Maintenance
ELC-2060,Overload Relay 160A,21,359.37,Seal & Gasket Warehouse,Safety
ORG-2002,O-Ring Viton 40mm ID,418,16.36,Seal & Gasket Warehouse,Production
GSK-1656,Rubber Gasket 4in 150#,193,64.96,Timken Industrial,Operations
ELC-2048,Contactor 32A,43,297.55,Pipe & Fitting Co,Utilities
PRS-1719,Thermocouple Type K 0-150C,4,48.76,Seal & Gasket Warehouse,Engineering
PRS-1696,Flow Meter 0-200psi,25,150.18,SKF Global,Utilities
NUT-1200,hex nut m6,396,2.48,Valve World Inc,Maintenance
WSH-1377,Sealing Washer 5/8in,5387,0.41,Electrical Supply House,Operations
HSE-1770,Quick Disconnect Coupling 1/4in x 1m,19,599.65,Valve World Inc,Operations
BLT-1145,Eye Bolt M16x80,4079,6.92,Timken Industrial,Utilities
HSE-1765,  Hydraulic Filter 3/4in x 3m ,34,668.82,Electrical Supply House,Warehouse
MTR-1845,Servo Motor 7.5HP,1,3250.42,SKF Global,Safety
SLV-1923,shaft collar 30mm,22,49.07,SKF Global,Utilities
ELB-1483,Long Radius Elbow 90deg 1.5in,192,22.69,Valve World Inc,Production
PMP-1882,Gear Pump 1in 5HP,2,4390.60,Pipe & Fitting Co,Production
PIP-1438,PVC Pipe SCH40 4in x 6m,192,43.80,Valve World Inc,Utilities
BLT-1117,Socket Head Cap Screw 1/2x2in,2253,1.61,Valve World Inc,Quality
HSE-1761,Hydraulic Pump 1/2in,35,570.70,Electrical Supply House,Safety
NUT-1259,Castle Nut 1in,3662,2.48,Pipe & Fitting Co,Operations
WSH-1352,Wave Washer M10,928,1.72,Seal & Gasket Warehouse,Utilities
NUT-1259,Castle Nut 1in,1933,2.49,Seal & Gasket Warehouse,Production
LUB-1984,Penetrating Oil 400g,16,412.81,Timken Industrial,Engineering
GSK-1647,  PTFE Envelope Gasket 2in 150# ,173,61.04,Valve World Inc,Utilities
VLV-1558,Ball Valve Full Port 4in,24,440.32,Seal & Gasket Warehouse,Operations
NUT-1246,Wing Nut 1/2in,6991,0.67,Pump Solutions Ltd,Safety
VLV-1568,Globe Valve 1/2in,8,643.54,Electrical Supply House,Operations
FLG-1518,Slip-On Flange 4in 300#,9,51.26,SKF Global,Production
FLG-1518,Slip-On Flange 4in 300#,83,104.32,Pump Solutions Ltd,Safety
BLT-1153,U-Bolt M10x50,1615,3.21,SKF Global,Maintenance
PIP-1408,SS Pipe SCH10 1/2in x 6m,149,346.30,National Bolt & Nut,Warehouse
BRG-1003,  Deep Groove Ball Bearing 30206 ,146,93.53,National Bolt & Nut,Warehouse
WSH-1361,Tab Washer M8,6886,1.48,Pipe & Fitting Co,Utilities
BLT-1190,Lag Bolt M6x20,1839,5.84,Pipe & Fitting Co,Utilities
ORG-2029,V-Ring Seal 10mm ID,85,18.27,National Bolt & Nut,Utilities
GSK-1674,  Metal Jacketed Gasket 1in 150# ,93,46.48,Valve World Inc,Safety
WSH-1362,Tab Washer M10,3263,1.34,Pipe & Fitting Co,Utilities
PIP-1454,copper tube type l 4in x 6m,120,239.05,SKF Global,Engineering
WSH-1354,Wave Washer M16,2847,0.68,Electrical Supply House,Utilities
BRG-1021,ANGULAR CONTACT BEARING 6208,330,56.86,SKF Global,Warehouse
PIP-1448,Copper Tube Type L 1/2in x 6m,98,131.68,Pump Solutions Ltd,Safety
VLV-1622,  Relief Valve 4in ,12,823.27,National Bolt & Nut,Utilities
BLT-1198,Lag Bolt 5/8x3in,597,0.89,Valve World Inc,Warehouse
WLD-2117,MIG Wire ER70S-6 1.0mm x 15kg,67,104.62,National Bolt & Nut,Maintenance
BLT-1117,  Socket Head Cap Screw 1/2x2in ,1904,0.17,Electrical Supply House,Quality
ELC-2050,Contactor 63A,31,249.62,National Bolt & Nut,Safety
HSE-1769,Hydraulic Filter 1/2in,32,624.49,Pipe & Fitting Co,Production
FLT-1779,Oil Filter Element 10 Micron,75,149.62,SKF Global,Warehouse
HSE-1774,Quick Disconnect Coupling 1in x 5m,30,417.63,Pump Solutions Ltd,Operations
PRS-1716,  Thermocouple Type K 0-100psi ,18,46.75,SKF Global,Production
BLT-1109,Hex Bolt 3/4x4in,1102,1.57,National Bolt & Nut,Safety
BRG-1084,  Cylindrical Roller Bearing 30208 ,67,25.57,Electrical Supply House,Warehouse
PRS-1711,Pressure Transmitter 0-500psi,5,330.88,Pump Solutions Ltd,Warehouse
FLG-1550,Lap Joint Flange 4in 300#,55,57.18,Seal & Gasket Warehouse,Maintenance
SLV-1938,Shaft Seal 25mm,3,72.90,Seal & Gasket Warehouse,Utilities
BLT-1100,Hex Bolt M6x20,3595,5.05,Electrical Supply House,Maintenance
BRG-1014,Tapered Roller Bearing 30208,214,110.81,Timken Industrial,Operations
FLG-1518,Slip-On Flange 4in 300#,51,270.34,Valve World Inc,Engineering
VLV-1597,Needle Valve 3in,2,587.87,Timken Industrial,Engineering
SLV-1934,Shaft Key 60mm,38,247.47,Valve World Inc,Utilities
BRG-1034,Spherical Roller Bearing 30208,11,23.24,Pump Solutions Ltd,Safety
PIP-1444,CPVC Pipe 2in x 6m,12,190.73,Valve World Inc,Quality
BLT-1133,Flange Bolt M10x50,3993,0.25,Electrical Supply House,Engineering
BLT-1133,Flange Bolt M10x50,3993,0.25,Electrical Supply House,Engineering
VLV-1576,Check Valve Swing 1/2in,41,687.72,Pump Solutions Ltd,Warehouse
ORG-1997,O-Ring Viton 10mm ID,391,30.44,Pipe & Fitting Co,Operations
PIP-1429,Galvanized Pipe 3in x 6m,40,33.81,Pipe & Fitting Co,Utilities
FLG-1513,SLIP-ON FLANGE 2IN 150#,78,51.82,Pump Solutions Ltd,Engineering
ORG-2022,Lip Seal 15mm ID,452,11.40,SKF Global,Utilities
PMP-1888,Peristaltic Pump 1in 5HP,3,3054.47,National Bolt & Nut,Production
BLT-1144,Eye Bolt M12x60,3511,2.98,Pump Solutions Ltd,Safety
NUT-1205,Hex Nut M20,9448,0.32,Pipe & Fitting Co,Production
PIP-1418,Carbon Steel Pipe SCH80 1in x 6m,174,54.42,Valve World Inc,Quality
FLT-1814,strainer basket 5 micron,70,34.79,Pipe & Fitting Co,Safety
BLT-1115,Socket Head Cap Screw M16x80,1090,7.89,Valve World Inc,Operations
FLT-1803,Water Filter Cartridge 10 Micron,62,29.08,Timken Industrial,Operations
BRG-1036,Spherical Roller Bearing 22210,350,115.65,Seal & Gasket Warehouse,Engineering
WSH-1301,Flat Washer M8,394,0.06,Pipe & Fitting Co,Maintenance
WSH-1317,Lock Washer 5/8in,2057,0.73,Electrical Supply House,Warehouse
BLT-1125,Carriage Bolt M16x80,2458,2.19,Pipe & Fitting Co,Quality
BLT-1142,eye bolt m10x40,3608,6.44,Timken Industrial,Quality
NUT-1233,Coupling Nut M12,6659,0.19,Pump Solutions Ltd,Utilities
ELC-2052,Contactor 160A,48,130.93,SKF Global,Quality
NUT-1223,Flange Nut M12,2589,1.32,Timken Industrial,Safety
FLG-1534,Socket Weld Flange 4in 300#,71,42.49,Electrical Supply House,Quality
FLG-1505,Weld Neck Flange 2in 150#,8,113.25,Pump Solutions Ltd,Maintenance
NUT-1286,Acorn Nut 1/2in,2065,1.85,Seal & Gasket Warehouse,Production
NUT-1278,Weld Nut 3/4in,1614,0.17,Seal & Gasket Warehouse,Utilities
PIP-1447,CPVC Pipe 6in x 6m,140,204.82,Seal & Gasket Warehouse,Operations
NUT-1229,flange nut 1in,8861,0.73,Pump Solutions Ltd,Production
GSK-1673,Kammprofile Gasket 2in 300#,43,26.40,Seal & Gasket Warehouse,Maintenance
PIP-1419,  Carbon Steel Pipe SCH80 1.5in x 6m ,119,49.62,SKF Global,Utilities
MTR-1832,gear motor 2hp,3,1180.94,Pump Solutions Ltd,Operations
VLV-1618,Relief Valve 1in,23,405.19,Timken Industrial,Safety
BRG-1025,Angular Contact Bearing 7208,105,21.59,Pump Solutions Ltd,Warehouse
BLT-1117,Socket Head Cap Screw 1/2x2in,2024,3.89,Valve World Inc,Quality
BRG-1046,THRUST BALL BEARING 22210,39,69.67,Electrical Supply House,Engineering
VLV-1617,Relief Valve 3/4in,30,83.64,Electrical Supply House,Maintenance
FLT-1786,Air Filter Element 25 Micron,60,127.15,Electrical Supply House,Operations
WSH-1382,Fiber Washer M10,9305,1.89,Timken Industrial,Production
FLT-1801,Fuel Filter 1 Micron,96,175.89,Pipe & Fitting Co,Quality
MTR-1829,ELECTRIC MOTOR 3PHASE 25HP,9,457.09,Timken Industrial,Warehouse
ELC-2082,cable gland 63a,45,146.98,Electrical Supply House,Maintenance
FLG-1520,Blind Flange 1in 150#,48,207.31,Seal & Gasket Warehouse,Maintenance
BRG-1005,Deep Groove Ball Bearing 7208,463,18.92,Timken Industrial,Maintenance
PIP-1452,Copper Tube Type L 2in x 6m,30,324.18,National Bolt & Nut,Warehouse
PIP-1458,Chrome Moly Pipe 1in x 6m,105,230.13,National Bolt & Nut,Production
NUT-1247,Wing Nut 5/8in,7388,0.06,Electrical Supply House,Quality
LUB-1973,Compressor Oil 200L,33,234.36,SKF Global,Safety
GSK-1633,  Spiral Wound Gasket 2in 150# ,28,38.07,National Bolt & Nut,Utilities
BRG-1091,FLANGED BEARING UNIT 6208,445,43.84,National Bolt & Nut,Utilities
HSE-1774,Quick Disconnect Coupling 1in x 5m,23,446.52,Pump Solutions Ltd,Engineering
BRG-1040,Thrust Ball Bearing 6205,103,100.18,Pump Solutions Ltd,Warehouse
ELC-2077,  Cable Gland 10A ,23,144.33,National Bolt & Nut,Warehouse
VLV-1582,Check Valve Swing 4in,31,357.00,SKF Global,Maintenance
BLT-1117,Socket Head Cap Screw 1/2x2in,4587,2.53,Seal & Gasket Warehouse,Warehouse
PRS-1715,Pressure Transmitter 4in line,7,189.06,SKF Global,Production
FLG-1517,Slip-On Flange 2in 300#,83,246.38,Pipe & Fitting Co,Warehouse
FLG-1548,Lap Joint Flange 6in 150#,61,214.34,SKF Global,Operations
SLV-1919,Shaft Coupling 75mm,6,271.36,Valve World Inc,Production
VLV-1608,diaphragm valve 1/2in,27,818.90,Pump Solutions Ltd,Quality
BLT-1116,  Socket Head Cap Screw M20x100 ,496,6.33,Valve World Inc,Production
HSE-1745,Hydraulic Fitting 1/2in,8,592.79,Valve World Inc,Maintenance
MTR-1832,GEAR MOTOR 2HP,5,2039.51,Valve World Inc,Engineering
WSH-1346,Fender Washer 1/2in,3790,1.55,Timken Industrial,Quality
WSH-1346,Fender Washer 1/2in,3790,1.55,Timken Industrial,Quality
ELC-2080,Cable Gland 32A,10,365.12,Electrical Supply House,Safety
FLG-1518,Slip-On Flange 4in 300#,56,84.77,Pipe & Fitting Co,Quality
BRG-1006,Deep Groove Ball Bearing 22210,22,101.83,Seal & Gasket Warehouse,Operations
VLV-1608,Diaphragm Valve 1/2in,45,177.20,National Bolt & Nut,Utilities
VLV-1608,Diaphragm Valve 1/2in,45,177.20,National Bolt & Nut,Utilities
BLT-1177,Anchor Bolt 1/2x2in,4456,4.35,Valve World Inc,Warehouse
VLV-1565,Gate Valve 3in,36,101.30,Seal & Gasket Warehouse,Maintenance
ELB-1495,street elbow 90deg 6in,28,26.63,Pipe & Fitting Co,Warehouse
PMP-1874,Centrifugal Pump 3in 20HP,3,1615.24,Valve World Inc,Operations
PRS-1692,Temperature Gauge 0-300C,14,69.62,Pipe & Fitting Co,Operations
HSE-1762,Hydraulic Filter 1/4in x 1m,25,405.52,Pipe & Fitting Co,Production
WLD-2101,Welding Rod E6010 2.5mm x 5kg,26,61.49,Pump Solutions Ltd,Utilities
NUT-1268,Cage Nut 3/4in,9282,2.75,Pipe & Fitting Co,Operations
NUT-1261,Cage Nut M8,5057,1.92,Pump Solutions Ltd,Production
PIP-1417,Carbon Steel Pipe SCH80 3/4in x 6m,162,28.58,Pipe & Fitting Co,Production
FLT-1818,Strainer Basket 100 Micron,94,119.28,Pipe & Fitting Co,Engineering
GSK-1674,Metal Jacketed Gasket 1in 150#,53,50.83,Pipe & Fitting Co,Maintenance
LUB-1967,Gear Oil 20L,18,74.20,Pump Solutions Ltd,Maintenance
WSH-1371,sealing washer m8,9945,1.38,Seal & Gasket Warehouse,Operations
NUT-1235,Coupling Nut M20,913,2.78,Valve World Inc,Quality
WLD-2115,MIG Wire ER70S-6 4.0mm x 5kg,93,110.98,Pipe & Fitting Co,Safety
MTR-1843,Servo Motor 3HP,9,1504.62,Pump Solutions Ltd,Operations
BLT-1161,Stud Bolt M8x30,4529,1.94,Electrical Supply House,Utilities
FLG-1541,Threaded Flange 2in 300#,30,278.83,Pump Solutions Ltd,Quality
FLG-1541,Threaded Flange 2in 300#,30,278.83,Pump Solutions Ltd,Quality
NUT-1268,Cage Nut 3/4in,6904,1.08,National Bolt & Nut,Utilities
PIP-1425,Galvanized Pipe 3/4in x 6m,97,29.03,National Bolt & Nut,Quality
WSH-1342,Fender Washer M10,3020,0.51,Seal & Gasket Warehouse,Warehouse
ELB-1485,Long Radius Elbow 90deg 3in,110,67.00,Valve World Inc,Operations
NUT-1294,t-nut m16,8273,0.30,Pipe & Fitting Co,Quality
ELB-1466,Elbow 90deg 1in,123,49.37,Valve World Inc,Utilities
ORG-2004,O-Ring Viton 75mm ID,330,36.36,Pipe & Fitting Co,Safety
PRS-1704,Level Transmitter 0-500psi,25,55.54,National Bolt & Nut,Warehouse
PRS-1723,RTD Sensor PT100 0-100psi,16,433.16,Electrical Supply House,Safety
FLT-1786,Air Filter Element 25 Micron,14,67.93,Electrical Supply House,Warehouse
GSK-1639,  Ring Joint Gasket 1in 150# ,129,53.47,Pipe & Fitting Co,Maintenance
NUT-1252,Castle Nut M10,2614,2.98,Electrical Supply House,Quality
WSH-1305,flat washer m20,2192,0.43,Electrical Supply House,Maintenance
ELB-1499,Reducing Elbow 1.5in,53,47.25,National Bolt & Nut,Maintenance
NUT-1295,t-nut m20,9242,1.60,SKF Global,Production
BRG-1050,Needle Roller Bearing 6205,313,106.22,National Bolt & Nut,Utilities
WSH-1342,Fender Washer M10,9756,1.32,Valve World Inc,Safety
VLV-1589,Butterfly Valve 3in,32,667.10,SKF Global,Quality
GSK-1669,Kammprofile Gasket 3in 150#,87,32.10,Seal & Gasket Warehouse,Operations
SLV-1948,Mechanical Seal 40mm,37,142.96,Timken Industrial,Maintenance
WLD-2115,  MIG Wire ER70S-6 4.0mm x 5kg ,79,102.48,Electrical Supply House,Utilities
MTR-1853,Stepper Motor 3HP,4,2798.49,SKF Global,Utilities
NUT-1286,  Acorn Nut 1/2in ,1683,0.10,Valve World Inc,Warehouse
ELB-1494,Street Elbow 90deg 4in,101,50.76,Electrical Supply House,Maintenance
VLV-1583,Check Valve Swing 6in,16,47.26,Timken Industrial,Warehouse
FLT-1778,Oil Filter Element 5 Micron,95,138.51,National Bolt & Nut,Maintenance
FLT-1793,Hydraulic Filter Element 50 Micron,51,158.33,Pump Solutions Ltd,Production
PIP-1460,chrome moly pipe 2in x 6m,65,107.01,National Bolt & Nut,Quality
FLG-1507,Weld Neck Flange 4in 150#,56,29.61,Timken Industrial,Operations
BRG-1004,Deep Groove Ball Bearing 30208,217,53.82,Pump Solutions Ltd,Maintenance
BLT-1120,CARRIAGE BOLT M6X20,4160,0.26,Timken Industrial,Operations
WSH-1342,Fender Washer M10,1179,0.84,Seal & Gasket Warehouse,Maintenance
LUB-1955,Bearing Grease 1kg,48,164.96,Pump Solutions Ltd,Utilities
PRS-1711,Pressure Transmitter 0-500psi,25,214.67,Timken Industrial,Maintenance
PMP-1874,Centrifugal Pump 3in 20HP,2,6251.07,Timken Industrial,Safety
VLV-1582,Check Valve Swing 4in,29,794.17,Pipe & Fitting Co,Warehouse
HSE-1741,Hydraulic Fitting 3/4in x 3m,27,148.65,National Bolt & Nut,Production
NUT-1281,Acorn Nut M8,9948,0.17,Timken Industrial,Engineering
PRS-1723,RTD Sensor PT100 0-100psi,2,82.41,Pump Solutions Ltd,Production
BRG-1089,  Cylindrical Roller Bearing UC205 ,422,85.36,Pipe & Fitting Co,Utilities
BRG-1058,Needle Roller Bearing 51105,310,61.39,Valve World Inc,Warehouse
ELB-1466,Elbow 90deg 1in,26,59.97,SKF Global,Warehouse
ELC-2073,Terminal Block 40A,40,202.93,Timken Industrial,Production
BLT-1190,Lag Bolt M6x20,1953,7.21,Pump Solutions Ltd,Warehouse
ORG-2034,V-Ring Seal 40mm ID,151,14.12,Pipe & Fitting Co,Safety
ORG-2034,V-Ring Seal 40mm ID,151,14.12,Pipe & Fitting Co,Safety
BLT-1152,U-Bolt M10x40,622,3.20,Seal & Gasket Warehouse,Quality
BRG-1038,Spherical Roller Bearing 51105,324,60.12,Timken Industrial,Operations
VLV-1627,Solenoid Valve 1.5in,28,551.33,Pipe & Fitting Co,Warehouse
BRG-1001,  Deep Groove Ball Bearing 6208 ,180,64.12,SKF Global,Safety
NUT-1283,Acorn Nut M12,4374,2.45,Pump Solutions Ltd,Maintenance
BRG-1015,Tapered Roller Bearing 7208,134,74.84,Seal & Gasket Warehouse,Safety
